#float wmo; comparison CTD reference; OW results; OW results (ligne suivante); correction appliquee; resume; explications
3901983;na;0.005 $\pm$ 0.015 and linear drift; (0.003/yr) after cycle 25; No correction; No correction; We reduced latitude scales since the float is located in the equatorial Atlantic. We do not use the potential vorticity constraint when selecting profiles and reduce MAP\_P\_DELTA to 50db to prevent mixing levels with too different pressures (see theta/S shape). The first 25 profiles do not go deeper than 1000m (cycle time less than 1 day). The correction proposed by the OWC run lies within the 0.01 instrument accuracy treshold. No correction is necessary for this float.
3901984;na;0.005 $\pm$ 0.003 ; ; No correction; No correction; We reduced latitude scales since the float is located in the equatorial Atlantic. We do not use the potential vorticity constraint when selecting profiles and reduce MAP\_P\_DELTA to 50db to prevent mixing levels with too different pressures (see theta/S shape). The correction proposed by the OWC run is an offset that lies within the 0.01 instrument accuracy treshold. No correction is necessary for this float.
3901921;na;0.005 $\pm$ 0.003 ; ; No correction; No correction; We reduced latitude scales since the float is located in the equatorial Atlantic. We do not use the potential vorticity constraint when selecting profiles and reduce MAP\_P\_DELTA to 50db to prevent mixing levels with too different pressures (see theta/S shape). The correction proposed by the OWC run is a small linear trend that lies within the 0.01 instrument accuracy treshold. Very few recent data are available. As of now, there is no clear evidence of a salty drift or offset, so we do not correct this float, but a check in a few cycles is recommended.
3901932;na;0.007 $\pm$ 0.005 ; ; No correction; No correction; The correction proposed by the OWC run is a small offset that lies within the 0.01 instrument accuracy treshold.  No correction is necessary for this float.
3901954;na; linear drift ($\approx$ -0.024/yr) up to cycle 45; and strong drift afterward; OWC correction applied; OWC correction applied; We reduced latitude scales since the float is located in the equatorial Atlantic. We do not use the potential vorticity constraint when selecting profiles and reduce MAP\_P\_DELTA to 50db to prevent mixing levels with too different pressures (see theta/S shape). OWC detects a salty drift for this float, a stronger drift is starting after cycle 45. A comparison with a float close in space and time (float 1902180,cycle 69) at cycle 63, shows a salty offset (0.22). We decided to correct the salinity for the small drift up to cycle 45 and then flag salinity after cycle 46 (flag 4) because of the very large drift. Both reference Argo and CTD databases were used to compute the correction.
#float wmo; comparison CTD reference; OW results; OW results (ligne suivante); correction appliquee; resume; explications
# DEEP floats;;;;;;
6902818;0.004;0.003 $\pm$ 0.0035 ;and linear drift after cycle 14;OWC correction applied; OWC correction applied (salty drift);The correction proposed by the OWC run shows that a salty drift ($\approx$ 0.037/yr) is starting cycle 14. There is no strong evidence of a depth-dependency. We decided to apply the correction proposed by OWC  until it reaches -0.05(and then apply a flag 4).
6902882;-0.001;-0.0024 $\pm$ 0.0036; ;No correction; No correction; OWC seems to suggest that a small fresh bias exists in the first ten cycles. This is not consistent with the comparison with the reference CTD cast and is probably related to the choice of reference data by the OWC software (both saltier profiles on the reykjanes ridge and cooler profiles towards the west). The reduction of map scales has helped to mitigate this bias. A small salty biais is seen overall but probably due to the reference data variability (see figure 6).
6902881;-0.0032;-0.0033 $\pm$ 0.004; ;OWC correction applied; OWC correction (-0.0033) applied; OWC seems to suggest that a small salty constant bias exists. This is  consistent with the comparison with the reference CTD cast. We then applied the OWC correction.
6902810;0.0027;0.0015 $\pm$ 0.017; ;From reference CTD cast; From reference CTD cast (0.0027); OWC results are not reliable given that we have only one profile analysed. We then applied the constant correction determined by the comparison with the reference CTD cast made at float launch (0.0027).
6901762;0.0033;-0.001 $\pm$ 0.002; ;From reference CTD cast; From reference CTD cast (0.0033); The small trend that appears in the OWC results (red curve) may be related to the spatio/temporal variability in this region (see Figure 7) and availability of reference data. Figure 4 shows the comparison of cycles 9 and 59, which are close in space, the float trajectory making a loop. No difference in sigma0 is clearly visible for these two profiles.  We then applied a constant correction determined by the comparison with the reference CTD cast made at float launch (0.0033).
6901760;0.0023;0.002 $\pm$ 0.0025; ;OWC correction applied; OWC correction applied (0.002); OWC seems to suggest that a small fresh constant bias exists. This is  consistent with the comparison with the reference CTD cast with cycle 2A (cycle 1D was partly flagued as bad and cycle 1A was flagued as bad). We then applied the OWC correction.
6901603;0.0015;-0.0015$\pm$ 0.0065; ;No correction; No correction; The comparison to the reference CTD made at float launch suggest a very small fresh bias (0.0015) while OWC results suggests a very small salty bias. We reached the correction limits, so no correction is applied for this float.
6901601;0.0054;0.0027$\pm$ 0.0051; ;From reference CTD cast;From reference CTD cast (0.0054); Both the comparison to the reference CTD made at float launch and OWC results suggest a small fresh bias.  We applied the constant correction based on the reference CTD cast.
